OBJECTID,STATEFP,GEOID,NAME,MTFCC,CSAFP,CBSAFP,Shape_Leng,Shape_Area,UberCity,UberCity2
1,31,31039,Cuming,G4020, , ,1.624427290887113,0.161523757627089,3,Unassigned Nebraska
2,53,53069,Wahkiakum,G4020, , ,1.449176794927165,0.086692185597720,1,Peninsula and SW WA
3,35,35011,De Baca,G4020, , ,3.455132602841858,0.592344047672078,3,Unassigned New Mexico
4,31,31109,Lancaster,G4020,339,30700,1.943380120301222,0.233861883349615,2,Lincoln
5,31,31129,Nuckolls,G4020, , ,1.602281842591565,0.157690976052997,3,Unassigned Nebraska
6,72,72085,Las Piedras,G4020,490,41980,0.489266839217377,0.007496630111657,1,"San Juan, PR"
7,46,46099,Minnehaha,G4020, ,43620,2.050524534198081,0.235255927826331,1,Sioux Falls
8,48,48327,Menard,G4020, , ,2.017358934281392,0.220448006266125,1,San Angelo
9,06,06091,Sierra,G4020, , ,3.064186554055151,0.261249352705582,1,Sacramento
10,21,21053,Clinton,G4020, , ,1.148505636478323,0.053669839627581,1,Louisville
11,39,39063,Hancock,G4020,534,22300,1.615461750615669,0.147929825098882,3,Toledo
12,48,48189,Hale,G4020,352,38380,2.018331693798742,0.254157380928087,1,Lubbock
13,01,01027,Clay,G4020, , ,2.022787178100513,0.151892176708179,1,Eastern Alabama
14,48,48011,Armstrong,G4020,108,11100,1.944937749327909,0.233601269048234,1,Amarillo
15,39,39003,Allen,G4020,338,30620,1.587688895546234,0.112394646613147,3,Toledo
16,13,13189,McDuffie,G4020, ,12260,1.477137785363036,0.066932472303684,3,Augusta
17,55,55111,Sauk,G4020,357,12660,2.334483851326556,0.244475113744288,1,Madison
18,05,05137,Stone,G4020, , ,2.092959003098489,0.157514854887092,1,Jonesboro
19,41,41063,Wallowa,G4020, , ,4.660891268706449,0.940937560405020,3,Unassigned Eastern Oregon
20,42,42007,Beaver,G4020,430,38300,1.421757137582655,0.122507131970712,1,Pittsburgh
21,28,28061,Jasper,G4020,279,29860,1.638634085654647,0.167492681748301,1,Meridian
22,29,29083,Henry,G4020, , ,1.860905818615230,0.195567486749390,1,"Columbia, MO"
23,08,08109,Saguache,G4020, , ,4.391842762188014,0.843148725923676,1,Rockies
24,37,37037,Chatham,G4020,450,20500,2.271794994256708,0.182870583626792,3,Raleigh-Durham
25,49,49033,Rich,G4020, , ,3.060820907305498,0.304043007926199,2,Salt Lake City
26,40,40001,Adair,G4020, , ,1.634371917776883,0.149233461471481,1,Tulsa
27,39,39085,Lake,G4020,184,17460,2.209799509584585,0.275207801960035,3,Cleveland
28,51,51775,Salem,G4020, ,40220,0.370710023489424,0.003848747209652,1,Roanoke-Blacksburg
29,51,51121,Montgomery,G4020, ,13980,1.921669794632552,0.102294269800907,1,Roanoke-Blacksburg
30,47,47065,Hamilton,G4020,174,16860,1.988653109655077,0.147572627045527,1,Chattanooga
31,35,35035,Otero,G4020, ,10460,5.921271911334204,1.648982947778855,3,Unassigned New Mexico
32,35,35003,Catron,G4020, , ,5.421435423187507,1.749751460704803,3,Unassigned New Mexico
33,01,01091,Marengo,G4020, , ,2.638668611426640,0.243547188483505,1,South Alabama
34,56,56023,Lincoln,G4020, , ,5.564641485294604,1.157185517622062,1,Wyoming
35,29,29011,Barton,G4020, , ,1.662180732869316,0.157483140941077,1,"Springfield, Mo"
36,48,48057,Calhoun,G4020,544,38920,2.504338718051093,0.246357915377221,1,Corpus Christi
37,51,51735,Poquoson,G4020,545,47260,0.732547770622343,0.020619253104829,1,Hampton Roads
38,54,54075,Pocahontas,G4020, , ,2.756889751167363,0.251331421016893,1,Eastern WV
39,48,48077,Clay,G4020, ,48660,2.462781258899024,0.281556782085534,1,Wichita Falls
40,51,51095,James City,G4020,545,47260,1.738733802691075,0.047160428461547,1,Hampton Roads
41,31,31101,Keith,G4020, , ,2.394199406748823,0.308532204897662,3,Unassigned Nebraska
42,31,31137,Phelps,G4020, , ,1.589008362748353,0.148722979384628,3,Unassigned Nebraska
43,22,22019,Calcasieu,G4020,324,29340,3.122474153252267,0.265583193365907,3,Lafayette-Lake Charles
44,22,22111,Union,G4020,384,33740,2.292989045596300,0.225823916861793,2,Monroe
45,40,40135,Sequoyah,G4020, ,22900,2.094232325913809,0.183710038797426,1,Tulsa
46,01,01049,DeKalb,G4020,497,22840,2.214333438348022,0.197866260482451,1,Eastern Alabama
47,36,36101,Steuben,G4020,236,18500,2.722196324351207,0.396822139926501,1,Upstate NY
48,42,42053,Forest,G4020, , ,1.917819446594079,0.120258444526831,1,Erie
49,22,22105,Tangipahoa,G4020,406,25220,2.478153936317412,0.205681826674727,3,Baton Rouge
50,51,51179,Stafford,G4020,548,47900,1.422770875508040,0.074823450169873,1,Washington D.C.
51,26,26109,Menominee,G4020,361,31940,3.582996703819513,0.399167723084494,1,Traverse City
52,18,18073,Jasper,G4020,176,16980,1.712038715728788,0.155668681379281,1,NW Indiana
53,13,13025,Brantley,G4020, ,15260,2.072032741033595,0.109609794027663,1,Coastal Georgia
54,13,13171,Lamar,G4020,122,12060,1.012444737990337,0.046478391679318,1,Macon
55,18,18151,Steuben,G4020,258,11420,1.244204577340311,0.090260344077804,1,South Bend
56,48,48361,Orange,G4020, ,13140,1.886193259111034,0.092014097894357,1,Beaumont
57,39,39047,Fayette,G4020,198,47920,1.402314076422828,0.110481596474476,1,Youngstown
58,25,25015,Hampshire,G4020, ,44140,3.000648656858996,0.154273717926364,1,Western MA
59,21,21003,Allen,G4020,150,14540,1.740779103305755,0.091960113880762,1,Bowling Green
60,37,37001,Alamance,G4020,268,15500,1.427116039311910,0.112478892422055,3,Piedmont Triad
61,20,20073,Greenwood,G4020, , ,2.265352704123188,0.305712819327085,1,Wichita
62,25,25025,Suffolk,G4020,148,14460,1.729807929804927,0.034020142571731,1,Boston
63,16,16051,Jefferson,G4020,292,26820,3.011427581664274,0.320389018127017,1,Eastern Idaho
64,48,48177,Gonzales,G4020, , ,2.122337161844890,0.257696761490106,2,San Antonio
65,47,47115,Marion,G4020,174,16860,1.631241706421778,0.131228561444367,1,Chattanooga
66,26,26007,Alpena,G4020, ,10980,3.611003563603207,0.501254137364138,1,Traverse City
67,21,21231,Wayne,G4020, , ,1.743815236205094,0.126617975820496,1,Louisville
68,47,47185,White,G4020, , ,1.870462931370682,0.098136800686211,1,Cookeville
69,48,48147,Fannin,G4020,206,14300,2.280961829147278,0.226131032233944,1,Dallas-Fort Worth
70,20,20043,Doniphan,G4020,312,41140,1.817371221614937,0.108461501015648,1,Topeka
71,48,48265,Kerr,G4020,314,28500,2.590098048173423,0.268293649719374,2,San Antonio
72,12,12053,Hernando,G4020, ,45300,2.011096192660303,0.140671401768009,3,unassigned Florida
73,12,12129,Wakulla,G4020, ,45220,2.152806886559212,0.178417938506055,1,Tallahassee
74,12,12131,Walton,G4020, ,18880,2.769801348297043,0.302034023650897,1,"Pensacola, FL"
75,28,28017,Chickasaw,G4020, , ,1.615776630813237,0.127327925405098,1,Oxford
76,02,02130,Ketchikan Gateway,G4020, ,28540,9.595382524104391,2.448419823390822,1,Juneau
77,26,26035,Clare,G4020, , ,1.658116958047117,0.167181561266854,1,Traverse City
78,20,20157,Republic,G4020, , ,1.822479039636395,0.196309365917102,1,Topeka
79,12,12127,Volusia,G4020,422,19660,3.743290518057900,0.343735255698602,1,"Central Atlantic Coast, FL"
