STNAME,CBSAFP,CBSA,POPESTIMATE2019,area_km2,charging_locations,level2,dcfc,charging_locations_per_100kpeople,charging_locations_per_1000km2,level2_per_100kpeople,level2_per_1000km2,dcfc_per_100kpeople,dcfc_per_1000km2
Alabama,10700,"Albertville, AL",96774,1465.531863,2,3,0,2.0666708000082665,1.3646922666736998,3.1000062000124005,2.0470384000105497,0,0
Alabama,11500,"Anniston-Oxford, AL",113605,1569.195268,2,1,12,1.7604858941067736,1.2745386382340276,0.8802429470533868,0.6372693191170138,10.56291536464064,7.647231829404166
Alabama,12220,"Auburn-Opelika, AL",164542,1573.514768,9,21,10,5.4697280937389845,5.719679397378239,12.762698885390963,13.345918593882558,6.077475659709983,6.355199330420265
Alabama,13820,"Birmingham-Hoover, AL",814907,7920.983461,29,66,21,3.558688292038233,3.6611615391933716,8.099083699121495,8.332298675405605,2.5769811769932027,2.6511859421745108
Alabama,17980,"Columbus, GA-AL",57961,1660.622936,4,4,0,6.90119218094926,2.408734646068986,6.90119218094926,2.408734646068986,0,0
Alabama,18980,"Cullman, AL",83768,1902.970816,3,5,0,3.581319835736797,1.576482400453166,5.968866392894661,2.6274706674219432,0,0
Alabama,19300,"Daphne-Fairhope-Foley, AL",223234,4117.621645,12,25,0,5.375525233611368,2.9143037011599935,11.199010903357015,6.071466044083318,0,0
Alabama,19460,"Decatur, AL",119679,1501.156832,4,8,1,3.3422739160587907,2.664611661308417,6.684547832117581,5.329223322616834,0.8355684790146977,0.6661529153271043
Alabama,20020,"Dothan, AL",105882,1501.819549,2,4,0,1.8888951852061728,1.3317179159984418,3.7777903704123457,2.6634358319968836,0,0
Alabama,21460,"Enterprise, AL",52342,1758.565919,1,1,0,1.9105116350158573,0.5686451609210335,1.9105116350158573,0.5686451609210335,0,0
Alabama,22520,"Florence-Muscle Shoals, AL",92729,1730.146078,3,13,1,3.235233853487043,1.7339576340674745,14.019346698443853,7.513816414292389,1.078411284495681,0.5779858780224915
Alabama,23460,"Gadsden, AL",102268,1385.871922,2,7,0,1.9556459498572378,1.4431348007352154,6.844760824500332,5.050971802573254,0,0
Alabama,26620,"Huntsville, AL",471824,3526.3898470000004,12,26,9,2.5433212384278883,3.402913608717635,5.510529349927092,7.372979485554875,1.907490928820916,2.5521852065382262
Alabama,27530,"Jasper, AL",63521,2048.686078,1,2,0,1.5742825207411721,0.4881177310367801,3.1485650414823443,0.9762354620735602,0,0
