GEOID,UberCity,UberCity2,STNAME,CTYNAME,CBSAFP,CSAFP,CBSA,CSA,POPESTIMATE2019,area_km2,charging_locations,level2,dcfc,charging_locations_per_100kpeople,charging_locations_per_1000km2,level2_per_100kpeople,level2_per_1000km2,dcfc_per_100kpeople,dcfc_per_1000km2
31039,3,Unassigned Nebraska,Nebraska,Cuming County,NA,NA,non-CBSA,non-CSA,8846,1477.652222,1,2,0,11.304544426859598,0.6767492276677266,22.609088853719197,1.3534984553354532,0,0
53069,1,Peninsula and SW WA,Washington,Wahkiakum County,NA,NA,non-CBSA,non-CSA,4488,680.96289,2,2,0,44.563279857397504,2.937017610460388,44.563279857397504,2.937017610460388,0,0
35011,3,Unassigned New Mexico,New Mexico,De Baca County,NA,NA,non-CBSA,non-CSA,1748,6016.819475,0,0,0,0,0,0,0,0,0
31109,2,Lincoln,Nebraska,Lancaster County,30700,339,"Lincoln, NE","Lincoln-Beatrice, NE",319090,2169.270569,17,30,12,5.327650506126798,7.836735648811544,9.401736187282584,13.829533497902723,3.7606944749130338,5.53181339916109
31129,3,Unassigned Nebraska,Nebraska,Nuckolls County,NA,NA,non-CBSA,non-CSA,4148,1489.645188,0,0,0,0,0,0,0,0,0
46099,1,Sioux Falls,South Dakota,Minnehaha County,43620,NA,"Sioux Falls, SD",non-CSA,193134,2089.691755,7,18,8,3.624426563940062,3.3497763405780394,9.31995402156016,8.613710590057815,4.142201787360071,3.8283158178034733
48327,1,San Angelo,Texas,Menard County,NA,NA,non-CBSA,non-CSA,2138,2336.237982,0,0,0,0,0,0,0,0,0
06091,1,Sacramento,California,Sierra County,NA,NA,non-CBSA,non-CSA,3005,2468.694583,1,1,0,33.277870216306155,0.40507238395799566,33.277870216306155,0.40507238395799566,0,0
21053,1,Louisville,Kentucky,Clinton County,NA,NA,non-CBSA,non-CSA,10218,510.875755,0,0,0,0,0,0,0,0,0
39063,3,Toledo,Ohio,Hancock County,22300,534,"Findlay, OH","Toledo-Findlay-Tiffin, OH",75783,1376.12566,3,2,1,3.9586714698547167,2.1800334716525818,2.639114313236478,1.4533556477683878,1.319557156618239,0.7266778238841939
48189,1,Lubbock,Texas,Hale County,NA,NA,non-CBSA,non-CSA,33406,2602.109427,0,0,0,0,0,0,0,0,0
01027,1,Eastern Alabama,Alabama,Clay County,NA,NA,non-CBSA,non-CSA,13235,1564.251834,0,0,0,0,0,0,0,0,0
48011,1,Amarillo,Texas,Armstrong County,NA,NA,non-CBSA,non-CSA,1887,2354.581674,0,0,0,0,0,0,0,0,0
39003,3,Toledo,Ohio,Allen County,30620,338,"Lima, OH","Lima-Van Wert-Celina, OH",102351,1042.479889,6,8,10,5.8621801447958495,5.755506713664766,7.816240193061133,7.674008951553022,9.770300241326417,9.592511189441277
13189,3,Augusta,Georgia,McDuffie County,12260,NA,"Augusta-Richmond County, GA-SC",non-CSA,21312,666.84871,1,2,2,4.692192192192192,1.4995905143162083,9.384384384384385,2.9991810286324165,9.384384384384385,2.9991810286324165
55111,1,Madison,Wisconsin,Sauk County,12660,357,"Baraboo, WI","Madison-Janesville-Beloit, WI",64442,2153.685971,5,10,0,7.758914993327333,2.321601230321614,15.517829986654666,4.643202460643228,0,0
05137,1,Jonesboro,Arkansas,Stone County,NA,NA,non-CBSA,non-CSA,12506,1570.754768,0,0,0,0,0,0,0,0,0
41063,3,Unassigned Eastern Oregon,Oregon,Wallowa County,NA,NA,non-CBSA,non-CSA,7208,8147.835329,1,2,0,13.873473917869035,0.1227319845850066,27.74694783573807,0.2454639691700132,0,0
42007,1,Pittsburgh,Pennsylvania,Beaver County,38300,430,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",163929,1125.90137,3,4,1,1.8300605750050327,2.6645317964219193,2.440080766673377,3.552709061895892,0.6100201916683442,0.888177265473973
28061,1,Meridian,Mississippi,Jasper County,NA,NA,non-CBSA,non-CSA,16383,1751.454613,0,0,0,0,0,0,0,0,0
29083,1,"Columbia, MO",Missouri,Henry County,NA,NA,non-CBSA,non-CSA,21824,1805.078265,3,14,0,13.746334310850441,1.6619777979543728,64.14956011730204,7.7558963904537395,0,0
08109,1,Rockies,Colorado,Saguache County,NA,NA,non-CBSA,non-CSA,6824,8206.547705,1,1,0,14.65416178194607,0.12185391908350575,14.65416178194607,0.12185391908350575,0,0
37037,3,Raleigh-Durham,North Carolina,Chatham County,20500,450,"Durham-Chapel Hill, NC","Raleigh-Durham-Cary, NC",74470,1765.64843,8,11,3,10.742580905062441,4.530913325706635,14.771048744460856,6.230005822846625,4.028467839398415,1.6990924971399883
49033,2,Salt Lake City,Utah,Rich County,NA,NA,non-CBSA,non-CSA,2483,2664.70096,0,0,0,0,0,0,0,0,0
40001,1,Tulsa,Oklahoma,Adair County,NA,NA,non-CBSA,non-CSA,22194,1486.277939,2,6,2,9.011444534558889,1.3456433332689062,27.03433360367667,4.036929999806718,9.011444534558889,1.3456433332689062
39085,3,Cleveland,Ohio,Lake County,17460,184,"Cleveland-Elyria, OH","Cleveland-Akron-Canton, OH",230149,593.807218,9,14,5,3.9105101477738335,15.156434154358829,6.083015785425963,23.576675351224846,2.1725056376521295,8.420241196866018
51775,1,Roanoke-Blacksburg,Virginia,Salem city,40220,NA,"Roanoke, VA",non-CSA,25301,37.60271,3,6,8,11.857238844314454,79.78148383454277,23.714477688628907,159.56296766908554,31.619303584838544,212.75062355878072
51121,1,Roanoke-Blacksburg,Virginia,Montgomery County,13980,NA,"Blacksburg-Christiansburg, VA",non-CSA,98535,1001.921573,13,21,1,13.193281575074847,12.975067460694353,21.312224082813216,20.95972435958318,1.014867813467296,0.9980821123611039
47065,1,Chattanooga,Tennessee,Hamilton County,16860,174,"Chattanooga, TN-GA","Chattanooga-Cleveland-Dalton, TN-GA",367804,1404.722581,48,102,19,13.050429032854455,34.17044806514718,27.73216169481572,72.61220213843775,5.1657948255048884,13.525802359120757
35035,3,Unassigned New Mexico,New Mexico,Otero County,10460,NA,"Alamogordo, NM",non-CSA,67490,17126.456785,1,1,0,1.4817009927396652,0.058389193547368066,1.4817009927396652,0.058389193547368066,0,0
35003,3,Unassigned New Mexico,New Mexico,Catron County,NA,NA,non-CBSA,non-CSA,3527,17933.559836,0,0,0,0,0,0,0,0,0
01091,1,South Alabama,Alabama,Marengo County,NA,NA,non-CBSA,non-CSA,18863,2530.140237,0,0,0,0,0,0,0,0,0
56023,1,Wyoming,Wyoming,Lincoln County,NA,NA,non-CBSA,non-CSA,19830,10555.073735,0,0,0,0,0,0,0,0,0
29011,1,"Springfield, Mo",Missouri,Barton County,NA,NA,non-CBSA,non-CSA,11754,1533.351029,0,0,0,0,0,0,0,0,0
48057,1,Corpus Christi,Texas,Calhoun County,NA,NA,non-CBSA,non-CSA,21290,1312.707005,0,0,0,0,0,0,0,0,0
51735,1,Hampton Roads,Virginia,Poquoson city,NA,NA,non-CBSA,non-CSA,12271,39.837595,0,0,0,0,0,0,0,0,0
54075,1,Eastern WV,West Virginia,Pocahontas County,NA,NA,non-CBSA,non-CSA,8247,2435.20676,2,4,0,24.251242876197406,0.8212854993881504,48.50248575239481,1.6425709987763009,0,0
48077,1,Wichita Falls,Texas,Clay County,48660,NA,"Wichita Falls, TX",non-CSA,10471,2819.870186,1,0,12,9.550186228631459,0.3546262537065598,0,0,114.6022347435775,4.2555150444787175
51095,1,Hampton Roads,Virginia,James City County,47260,545,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk, VA-NC",76523,368.724192,2,6,0,2.6135932987467823,5.424108434957259,7.840779896240346,16.272325304871778,0,0
31101,3,Unassigned Nebraska,Nebraska,Keith County,NA,NA,non-CBSA,non-CSA,8034,2749.531879,4,3,12,49.78839930296241,1.4547930978908283,37.34129947722181,1.0910948234181213,149.36519790888724,4.364379293672485
31137,3,Unassigned Nebraska,Nebraska,Phelps County,NA,NA,non-CBSA,non-CSA,9034,1398.0486,1,2,0,11.069293779056895,0.7152827162088643,22.13858755811379,1.4305654324177286,0,0
22019,3,Lafayette-Lake Charles,Louisiana,Calcasieu Parish,29340,324,"Lake Charles, LA","Lake Charles-Jennings, LA",203436,2756.144275,6,10,9,2.9493305019760516,2.176954252512779,4.915550836626752,3.6282570875212983,4.4239957529640765,3.2654313787691684
22111,2,Monroe,Louisiana,Union Parish,NA,NA,non-CBSA,non-CSA,22108,2271.261418,0,0,0,0,0,0,0,0,0
40135,1,Tulsa,Oklahoma,Sequoyah County,22900,NA,"Fort Smith, AR-OK",non-CSA,41569,1744.289208,3,4,3,7.216916452163872,1.7198982750342169,9.62255526955183,2.2931977000456225,7.216916452163872,1.7198982750342169
01049,1,Eastern Alabama,Alabama,DeKalb County,NA,NA,non-CBSA,non-CSA,71513,2012.67648,0,0,0,0,0,0,0,0,0
36101,1,Upstate NY,New York,Steuben County,18500,236,"Corning, NY","Elmira-Corning, NY",95379,3601.520291,11,30,10,11.532937019679384,3.05426572980538,31.453464599125592,8.329815626741945,10.484488199708531,2.776605208913982
42053,1,Erie,Pennsylvania,Forest County,NA,NA,non-CBSA,non-CSA,7247,1106.62393,0,0,0,0,0,0,0,0,0
22105,3,Baton Rouge,Louisiana,Tangipahoa Parish,25220,406,"Hammond, LA","New Orleans-Metairie-Hammond, LA-MS",134758,2049.482871,3,2,4,2.226212915003191,1.463783885413112,1.4841419433354606,0.9758559236087413,2.968283886670921,1.9517118472174826
51179,1,Washington D.C.,Virginia,Stafford County,47900,548,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",152882,697.237202,2,2,10,1.3081984798733663,2.8684642676309746,1.3081984798733663,2.8684642676309746,6.540992399366832,14.342321338154873
26109,1,Traverse City,Michigan,Menominee County,NA,NA,non-CBSA,non-CSA,22780,2704.053268,0,0,0,0,0,0,0,0,0
18073,1,NW Indiana,Indiana,Jasper County,NA,NA,non-CBSA,non-CSA,33562,1449.563753,0,0,0,0,0,0,0,0,0
13025,1,Coastal Georgia,Georgia,Brantley County,NA,NA,non-CBSA,non-CSA,19109,1147.949245,0,0,0,0,0,0,0,0,0
13171,1,Macon,Georgia,Lamar County,NA,NA,non-CBSA,non-CSA,19077,475.26444300000003,0,0,0,0,0,0,0,0,0
18151,1,South Bend,Indiana,Steuben County,11420,258,"Angola, IN","Fort Wayne-Huntington-Auburn, IN",34594,799.729298,5,9,6,14.453373417355612,6.252115575238061,26.0160721512401,11.253808035428507,17.344048100826733,7.5025386902856726
48361,1,Beaumont,Texas,Orange County,13140,NA,"Beaumont-Port Arthur, TX",non-CSA,83396,864.501083,1,0,4,1.1990982780948727,1.1567365497447273,0,0,4.796393112379491,4.626946198978909
39047,1,Youngstown,Ohio,Fayette County,47920,198,"Washington Court House, OH","Columbus-Marion-Zanesville, OH",28525,1052.469899,1,4,0,3.5056967572304996,0.9501459385680731,14.022787028921998,3.8005837542722922,0,0
25015,1,Western MA,Massachusetts,Hampshire County,44140,NA,"Springfield, MA",non-CSA,160830,1365.534282,37,88,14,23.005658148355405,27.095621463130723,54.716159920412856,64.44364023663522,8.704843623702047,10.252397310373786
21003,1,Bowling Green,Kentucky,Allen County,NA,NA,non-CBSA,non-CSA,21315,891.838779,0,0,0,0,0,0,0,0,0
37001,3,Piedmont Triad,North Carolina,Alamance County,15500,268,"Burlington, NC","Greensboro--Winston-Salem--High Point, NC",169509,1096.718106,10,21,9,5.899391772708234,9.118113346803813,12.388722722687291,19.14803802828801,5.309452595437411,8.206302012123432
20073,1,Wichita,Kansas,Greenwood County,NA,NA,non-CBSA,non-CSA,5982,2961.143639,0,0,0,0,0,0,0,0,0
25025,1,Boston,Massachusetts,Suffolk County,14460,148,"Boston-Cambridge-Newton, MA-NH","Boston-Worcester-Providence, MA-RI-NH-CT",803907,150.863059,131,549,58,16.295417255976126,868.3371586678487,68.29148147733507,3639.0618328904493,7.214764891958896,384.45461986820777
16051,1,Eastern Idaho,Idaho,Jefferson County,NA,NA,non-CBSA,non-CSA,29871,2832.617272,0,0,0,0,0,0,0,0,0
48177,2,San Antonio,Texas,Gonzales County,NA,NA,non-CBSA,non-CSA,20837,2762.704862,1,1,0,4.799155348658636,0.36196410762316167,4.799155348658636,0.36196410762316167,0,0
47115,1,Chattanooga,Tennessee,Marion County,NA,NA,non-CBSA,non-CSA,28907,1290.472802,0,0,0,0,0,0,0,0,0
26007,1,Traverse City,Michigan,Alpena County,NA,NA,non-CBSA,non-CSA,28405,1481.12763,0,0,0,0,0,0,0,0,0
21231,1,Louisville,Kentucky,Wayne County,NA,NA,non-CBSA,non-CSA,20333,1186.690748,1,1,0,4.918113411695273,0.8426795285000402,4.918113411695273,0.8426795285000402,0,0
47185,1,Cookeville,Tennessee,White County,NA,NA,non-CBSA,non-CSA,27345,975.592111,0,0,0,0,0,0,0,0,0
48147,1,Dallas-Fort Worth,Texas,Fannin County,NA,NA,non-CBSA,non-CSA,35514,2307.251018,0,0,0,0,0,0,0,0,0
20043,1,Topeka,Kansas,Doniphan County,NA,NA,non-CBSA,non-CSA,7600,1019.105691,0,0,0,0,0,0,0,0,0
48265,2,San Antonio,Texas,Kerr County,28500,314,"Kerrville, TX","Kerrville-Fredericksburg, TX",52600,2857.60341,5,10,4,9.505703422053232,1.7497179568385242,19.011406844106464,3.4994359136770483,7.604562737642586,1.3997743654708192
12053,3,unassigned Florida,Florida,Hernando County,45300,NA,"Tampa-St. Petersburg-Clearwater, FL",non-CSA,193920,1224.962206,1,1,0,0.5156765676567657,0.8163517168953375,0.5156765676567657,0.8163517168953375,0,0
12129,1,Tallahassee,Florida,Wakulla County,NA,NA,non-CBSA,non-CSA,33739,1570.615733,0,0,0,0,0,0,0,0,0
12131,1,"Pensacola, FL",Florida,Walton County,18880,NA,"Crestview-Fort Walton Beach-Destin, FL",non-CSA,74071,2687.740188,9,17,5,12.150504245926205,3.348537942834823,22.95095246452728,6.325016114243554,6.75028013662567,1.8602988571304568
28017,1,Oxford,Mississippi,Chickasaw County,NA,NA,non-CBSA,non-CSA,17103,1299.608407,0,0,0,0,0,0,0,0,0
02130,1,Juneau,Alaska,Ketchikan Gateway Borough,NA,NA,non-CBSA,non-CSA,13901,12579.378509,0,0,0,0,0,0,0,0,0
26035,1,Traverse City,Michigan,Clare County,NA,NA,non-CBSA,non-CSA,30950,1461.700232,1,0,8,3.231017770597738,0.6841348028191323,0,0,25.848142164781905,5.473078422553058
20157,1,Topeka,Kansas,Republic County,NA,NA,non-CBSA,non-CSA,4636,1857.998461,0,0,0,0,0,0,0,0,0
12127,1,"Central Atlantic Coast, FL",Florida,Volusia County,19660,422,"Deltona-Daytona Beach-Ormond Beach, FL","Orlando-Lakeland-Deltona, FL",553284,2852.204344,33,53,29,5.964387186327455,11.569998506390325,9.579167299253186,18.58211881329355,5.24143116374231,10.16757444500968
40017,2,Oklahoma City,Oklahoma,Canadian County,36420,416,"Oklahoma City, OK","Oklahoma City-Shawnee, OK",148306,2322.131002,11,14,10,7.417097083058002,4.737028182529729,9.43994174207382,6.028944959583292,6.742815530052728,4.306389256845209
13115,1,Atlanta,Georgia,Floyd County,40660,122,"Rome, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",98498,1320.434485,3,5,1,3.04574712176897,2.271979438646666,5.076245202948283,3.786632397744444,1.0152490405896566,0.7573264795488888
